code, time total, target uri, method, date, time
2.05, 88, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:49:34
2.05, 86, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:49:36
2.05, 333, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:49:39
2.05, 171, coap://18.197.149.111:5683/things, get, 30.4.2020, 13:49:41
2.05, 1113, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:49:44
2.05, 69, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:49:46
2.05, 303, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:49:48
2.05, 171, coap://18.195.51.121:5683/things, get, 30.4.2020, 13:49:50
2.05, 61, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:49:53
2.05, 80, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:49:55
2.05, 313, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:49:58
2.05, 138, coap://35.156.164.217:5683/things, get, 30.4.2020, 13:50:00
2.05, 68, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:50:02
2.05, 84, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:50:04
2.05, 347, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:50:06
2.05, 119, coap://3.127.229.173:5683/things, get, 30.4.2020, 13:50:08
2.05, 91, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:50:11
2.05, 111, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:50:13
2.05, 305, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:50:16
2.05, 151, coap://3.124.216.124:5683/things, get, 30.4.2020, 13:50:18
2.05, 96, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:50:20
2.05, 67, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:50:22
2.05, 430, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:50:24
2.05, 139, coap://52.59.194.201:5683/things, get, 30.4.2020, 13:50:26
2.05, 59, coap://18.194.217.36:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:50:28
2.05, 65, coap://18.194.217.36:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:50:30
2.05, 359, coap://18.194.217.36:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:50:33
2.05, 181, coap://18.194.217.36:5683/things, get, 30.4.2020, 13:50:35
2.05, 133, coap://3.127.232.210:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:50:38
2.05, 80, coap://3.127.232.210:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:50:40
2.05, 314, coap://3.127.232.210:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:50:43
2.05, 153, coap://3.127.232.210:5683/things, get, 30.4.2020, 13:50:45
2.05, 71, coap://35.156.157.65:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:50:48
2.05, 110, coap://35.156.157.65:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:50:50
2.05, 342, coap://35.156.157.65:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:50:52
2.05, 127, coap://35.156.157.65:5683/things, get, 30.4.2020, 13:50:55
2.05, 93, coap://35.159.26.224:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 13:50:58
2.05, 107, coap://35.159.26.224:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 13:51:00
2.05, 353, coap://35.159.26.224:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 13:51:02
2.05, 122, coap://35.159.26.224:5683/things, get, 30.4.2020, 13:51:04
