code, time total, length, date, time, uri, method, serverType
200, 200, 655, 30.04.2020, 11:02:40, https://18.197.149.111:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, soliot
200, 158, 699, 30.04.2020, 11:02:40, https://18.197.149.111:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, soliot
200, 186, 2902, 30.04.2020, 11:02:40, https://18.197.149.111:8443/things/3S7PM0CP4BD/120636/, get, soliot
200, 171, 1346, 30.04.2020, 11:02:40, https://18.197.149.111:8443/things/, get, soliot
200, 328, 655, 30.04.2020, 11:02:41, https://18.195.51.121:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, soliot
200, 257, 699, 30.04.2020, 11:02:41, https://18.195.51.121:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, soliot
200, 223, 2901, 30.04.2020, 11:02:41, https://18.195.51.121:8443/things/3S7PM0CP4BD/120636/, get, soliot
200, 225, 1346, 30.04.2020, 11:02:42, https://18.195.51.121:8443/things/, get, soliot
200, 171, 655, 30.04.2020, 11:02:42, https://35.156.164.217:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, soliot
200, 187, 699, 30.04.2020, 11:02:42, https://35.156.164.217:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, soliot
200, 210, 2901, 30.04.2020, 11:02:42, https://35.156.164.217:8443/things/3S7PM0CP4BD/120636/, get, soliot
200, 178, 1346, 30.04.2020, 11:02:42, https://35.156.164.217:8443/things/, get, soliot
200, 223, 655, 30.04.2020, 11:02:43, https://3.127.229.173:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, soliot
200, 169, 699, 30.04.2020, 11:02:43, https://3.127.229.173:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, soliot
200, 174, 2900, 30.04.2020, 11:02:43, https://3.127.229.173:8443/things/3S7PM0CP4BD/120636/, get, soliot
