code, time total, length, date, time, uri, method, serverType
200, 269, 655, 29.04.2020, 19:17:12, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, soliot
200, 232, 699, 29.04.2020, 19:17:13, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, soliot
200, 207, 2901, 29.04.2020, 19:17:13, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/, get, soliot
200, 191, 1346, 29.04.2020, 19:17:13, https://18.184.222.58:8443/things/, get, soliot
201, 346, 7, 29.04.2020, 19:17:13, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/, post, soliot
200, 214, 574, 29.04.2020, 19:17:14, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest02020-04-29_19-17-0517.ttl, get, soliot
200, 338, 2, 29.04.2020, 19:17:14, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest02020-04-29_19-17-0517.ttl, delete, soliot
201, 326, 7, 29.04.2020, 19:17:14, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest02020-04-29_19-17-0517, put, soliot
200, 201, 574, 29.04.2020, 19:17:15, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest02020-04-29_19-17-0517, get, soliot
200, 489, 2, 29.04.2020, 19:17:15, https://18.184.222.58:8443/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTest02020-04-29_19-17-0517, delete, soliot
