2020-4-28T04-35-006:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:35:06 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:35:06 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"16","solid-server-get-request-length":"213","solid-server-get-response-length":"213"}
2020-4-28T04-35-006:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:35:06 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:35:06 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"11","solid-server-delete-request-length":"235","solid-server-delete-response-length":"235"}
2020-4-28T04-35-006:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-put-started-at":"Tue Apr 28 2020 16:35:06 GMT+0000 (Coordinated Universal Time)","solid-server-put-finished-at":"Tue Apr 28 2020 16:35:06 GMT+0000 (Coordinated Universal Time)","solid-server-put-duration":"3","solid-server-put-request-length":"904","solid-server-put-response-length":"904"}
2020-4-28T04-35-007:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:35:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:35:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"26","solid-server-get-request-length":"209","solid-server-get-response-length":"209"}
2020-4-28T04-35-007:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:35:07 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:35:07 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"21","solid-server-delete-request-length":"231","solid-server-delete-response-length":"231"}
2020-4-28T04-36-007:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:36:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:36:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"15","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
2020-4-28T04-36-007:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:36:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:36:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"25","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
2020-4-28T04-36-007:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:36:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:36:07 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"35","solid-server-get-request-length":"397","solid-server-get-response-length":"397"}
2020-4-28T04-36-008:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:36:08 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:36:08 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"14","solid-server-get-request-length":"309","solid-server-get-response-length":"309"}
2020-4-28T04-36-021:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-post-started-at":"Tue Apr 28 2020 16:36:21 GMT+0000 (Coordinated Universal Time)","solid-server-post-finished-at":"Tue Apr 28 2020 16:36:21 GMT+0000 (Coordinated Universal Time)","solid-server-post-duration":"10","solid-server-post-request-length":"895","solid-server-post-response-length":"895"}
2020-4-28T04-36-022:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"22","solid-server-get-request-length":"213","solid-server-get-response-length":"213"}
2020-4-28T04-36-022:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"6","solid-server-delete-request-length":"235","solid-server-delete-response-length":"235"}
2020-4-28T04-36-022:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-put-started-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-put-finished-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-put-duration":"12","solid-server-put-request-length":"904","solid-server-put-response-length":"904"}
